"module","question","answer"
"Programs","What is the difference between the Master's Degree programs?","View our <a href=""https://www.bu.edu/csmet/academic-programs/compare/"">Degree Program Comparison chart</a>.
You may also view our <a href=""https://www.bu.edu/csmet/analytics-at-met-college/"">Analytics Program comparison chart</a>."
"Programs","What is the difference between a Graduate Certificate and a Master's Degree program?","A graduate certificate program is made up of 16 credits (4 courses) in a specific subject area. The completion of the coursework typically indicates the mastering of this specific subject area. Certificates are generally meant for students who are looking to improve their knowledge within a chosen area.

A Master’s Degree program leads to an academic degree. Students are required to take a set of core courses that offer a solid advanced understanding of the discipline and then can choose to focus their study in one specific area by declaring a concentration.

Students may take a graduate certificate in conjunction with a related master’s degree program."
"Programs","Can I tailor my study to one or more areas?","Our programs provide students opportunities to tailor their course of study to meet their particular goals through electives, predefined course alternatives, and concentrations. Students who are currently enrolled in a master’s degree program have the option to take a related certificate program in conjunction with their degree program, without reapplication. Please contact your designated program administrator for further details."
"Programs","Is the online degree held to the same academic regard as the on campus degree?","Yes, the online and on campus degrees both have been created with strict attention to maintaining a high academic standard. The main differences are the way the courses are offered and that online courses are more intense, being seven weeks long instead of fourteen weeks. Students can take courses online, on campus or in a blended format, where students participate online and come to campus five times during the semester. All required MSCIS and MSSD courses are available online. A few general elective courses may only be available on campus."
"Programs","What are the program tuition and fees?","Please view current tuition rates for MET College online <a href=""http://www.bu.edu/met/admissions/tuition-and-fees/"">here</a>.

The tuition and fees can vary in the following situations:

- Taking classes full time (3-4 classes per semester) or part time (1-2 classes per semester).

- Students registering for a full-time course load during Fall or Spring will pay a flat rate for tuition while students registering for a part-time course load will pay on a per credit basis. MET CS classes are all 4 credits, unless noted otherwise.

- All students are considered part-time during summer term. Please view the summer term tuition rates <a href=""http://www.bu.edu/summer/tuition-and-fees/"">here</a>."
"Programs","How do I change my program of study?","If you are in a MET CS master’s degree program and would like to change to a different MET CS master’s degree program or in a MET CS certificate program and would like to change to a different MET CS certificate program, you may submit the program change form. Students may not change across program type without reapplication (e.g. cannot change from a certificate to a master’s degree program). You can submit the <a href=""https://www.bu.edu/csmet/academic-programs/met-computer-science-academic-policies-manual/program-change-requests/"">Program Change Form</a>."
"Admissions","Do I have to take the GRE or GMAT?","The GRE or GMAT are not required for admission into our graduate programs."
"Admissions","Do I have to take the TOEFL or IELTS?","Scores from <a href=""https://www.ets.org/toefl.html"">Test of English as a Foreign Language (TOEFL)</a> [Institution Code: 3087] or <a href=""https://ielts.org/"">International English Language Testing System (IELTS)</a> are required for applicants who do not have English as a native language and who did not graduate from an institution where English is the language of instruction. For 2020 admissions only, Duolingo will also be accepted as proof of English proficiency.

**Minimum TOEFL requirements:**

- Listening: 18
- Reading: 21
- Speaking: 23
- Writing: 22

**Minimum IELTS requirements:**

- 6.5

**Minimum Duolingo requirements:**

- 110"
"Admissions","Can I apply to more than one program offered by the MET Computer Science department?","We do not recommend that you apply for more than one Master’s degree program within our Department. Please apply to the program for which you have most interest. If you are admitted into one program and later decide that it is not a good fit, you can submit the program change form to request approval."
"Admissions","Do I need a bachelor degree in Computer Science in order to apply?","No. Applicants are required to have a bachelor’s degree from a regionally accredited institution, but it does not have to be in Computer Science or a related field. For students who completed non-technical undergraduate degrees, we provide the needed background material for the degree in the form of prerequisites. This accelerated process allows you to begin the program after only a short period of time."
"Admissions","How do I apply?","Follow the appropriate link below to submit an online application:

- <a href=""https://www.bu.edu/met/admissions/apply-now-undergraduate/"">Apply to an undergraduate degree program</a>
- <a href=""https://www.bu.edu/met/admissions/apply-now-graduate/"">Apply to a graduate degree program</a>
- <a href=""https://www.bu.edu/met/admissions/"">Apply to a certificate program</a>"
"Admissions","Can I register for classes before/while applying?","If you are not a degree candidate, you may register for two courses a semester. However, a maximum of two graduate-level courses (8 credits) taken at Metropolitan College before acceptance into the Master’s degree program may be applied toward the Master’s degree program requirements. Also, a maximum of two graduate-level courses (8 credits) taken at Metropolitan College before acceptance into a graduate certificate program may be applied toward the graduate certificate program requirements.

International students (non U.S. Citizens or Permanent Residents) who register for classes on campus as a non-degree student will be required to report to the International Students and Scholars Office."
"Admissions","Can I transfer graduate level courses from another University or College?","If you are enrolled in the MSCS, MSCIS or MSTC program, you can apply to transfer up to two graduate level courses (8 credits maximum) from a regionally accredited college or university towards the program requirements. No more than one graduate course (4 credits maximum) can be transferred toward a graduate certificate program. The transfer courses may not have been used to satisfy a previous degree requirement and they must have been taken at the graduate level at an accredited college or university. In order to apply, complete a <a href=""https://www.bu.edu/csmet/academic-programs/met-computer-science-academic-policies-manual/petition-for-approval-of-credits-for-transfer/"">Transfer Credit form</a> and submit the completed form along with the course transcript and description (preferably a syllabus) within the first six months after acceptance to the degree or certificate program."
"Admissions","What type of financial aid and scholarships are available?","Information on financial aid and scholarships, eligibility requirements, and application deadlines can be found <a href=""http://www.bu.edu/met/admissions/financial-aid-scholarships/"">here</a>. The Department also has <a href=""https://www.bu.edu/csmet/research/assistantship/"">research and graduate assistantship opportunities</a> available for application online."
"Admissions","Will my diploma say that I graduated from Boston University or MET College?","Your diploma will say Boston University Metropolitan College. Boston University is made up of 17 schools and colleges, one of which is Metropolitan College. Further information about Metropolitan College is available online <a href=""http://www.bu.edu/met/about-met/met-college-boston-university/"">here</a>."
"Program Prerequisites","I do not have a background in computer science, may I still apply?","Yes, you may apply. If you are accepted into the program, it may be on a conditional basis where the Admissions Committee will identify the prerequisite courses you need to successfully complete in order to be fully matriculated into the program."
